term,gloss,forms,occurrences
"guam","Guam (an island and overseas territory of the United States in Micronesia)",52,301
"went","unaugmented second-person singular aorist active indicative of βαίνω (baínō)",77,301
"ramiflorous","having flowers on the branches; ramiflorous",3,300
"monk","monk",14,300
"leprous","leprous, having leprosy or the appearance of leprosy",9,300
"drawn","pulled, prolonged",22,300
"mystic","Of or belonging to secret rites or mysteries.",18,300
"thor","Thor",21,299
"axe-head","axe-head",27,299
"roof","covering, roof, thatch",57,299
"nahe","The river Nahe, in Germany",81,299
"neighbor","neighbour/neighbor",48,299
"infernal","of the underworld",4,298
"millet ear","ear of millet",29,298
"pallene","A peninsula and town of Chalcidice, where the battle between gods and giants took place",19,298
"mourning song","mourning song accompanied by a flute",18,298
"lecherous","Hesychius gives the definition as: λάγνος (lágnos, ""lecherous"").",68,298
"rasp","A rasp, scraper",92,298
"japan","Japan (a country and archipelago of East Asia)",17,297
"tomyris","a female given name, Tomyris, from Proto-Saka: The queen of the Massagetae",14,297
"horehound","horehound, a herb used against respiratory maladies",13,297
"serifos","Seriphus; Serifos, Cyclades, Greece",4,297
"labyrinth","a building with many winding passages, a labyrinth; especially that built by Daedalus, near Knossos, Crete",32,297
"persuasion","persuasion",53,297
"allis shad","The allis shad",33,296
"delphian","an inhabitant of Delphi; a Delphian",37,296
"catfish","wels catfish (Silurus glanis)",17,295
"double mattock","a double mattock",5,295
"chickpea","chickpea",50,295
"done","made, done, having been done",52,295
"iole","Iole, daughter of Eurytus and later married to Hyllus",38,295
"bleary-eyed","having bleary, watery, rheumy or inflamed eyes",52,295
"marea","Marea, Lake Mariout",83,295
"sixth","sixth",81,295
"obelisk","obelisk (all senses)",9,294
"chaffy","full of chaff, mixed with chaff, having husks included, chaffy",11,294
"pestle","pestle",46,294
"shrub","A shrub, perhaps the buckthorn",20,294
"woad","dyer's woad (Isatis tinctoria)",11,293
"black-bellied","having a black belly",7,293
"hexagonal","hexagonal",22,292
"sororal nephew","sororal nephew",25,291
"locris","Locris (an ancient region of Greece, the homeland of the Locrians, made up of three distinct districts)",25,291
"aloft","on high; aloft",43,291
"aristeus","Aristeus",23,291
"biston","Any individual among the Bistones of Bithynia; a Biston",48,291
"mercenary","mercenary",25,291
"michael","a male given name, Michael, from Hebrew",55,291
"woodland","wood, woodland",69,291
"merchant ship","merchant ship",12,290
"lead away","to lead away",24,290
"nocturnal","of or belonging to the night, nocturnal",22,290
"loir","The Loir (a left tributary of the Sarthe in Centre-Val de Loire and Pays de la Loire, France)",48,290
"almo","a river in Latium, now still called this way",37,290
"rhodope","The mythical wife of Haemus",28,290
"elytron","elytron",82,290
"ennius","Ennius",72,290
"chariot","chariot (two-wheeled)",125,290
"controversial","controversial, debatable, disputed",8,289
"herpes","herpes, shingles",31,289
"precious stone","A precious stone, soft and fragrant, of unknown kind, but sometimes suggested to be orchanet-root dyed amber",82,289
"cutting","cutting; rending",17,288
"marshmallow","A wild mallow, marshmallow.",12,288
"globule","A small ball, globule; pellet.",23,288
"hellen","Hellen (mythological patriarch of the Greeks)",17,288
"long-haired","wearing long hair, long-haired",24,288
"cherry","cherry, fruit of the cherry tree",40,288
"level ground","level ground",71,288
"i may","first-person singular present middle/passive subjunctive of -ω (-ō)",102,288
"agora","agora",70,288
"sororal niece","sororal niece",10,287
"scorpionfish","A scorpionfish.",13,287
"centaury","the Gaulish name for the centaury",24,287
"guineafowl","a kind of galliform found in Numidia",4,287
"apollo","Apollo",24,287
"troublesome","troublesome, irksome, grievous, annoying, tiresome",15,287
"quail","quail",18,287
"resin","resin",47,287
"pastoral","Of or for pasture, grazing.",50,287
"gibraltar","Calpe; Gibraltar",57,287
"erebus","Erebus, whose equivalent in Roman mythology is Scōtus.",52,287
"productive","productive, fertile, fruitful [with genitive 'the product or fruit']",37,287
"vat","vat",99,287
"hosea","the book of Hosea",128,287
"ichnae","Ichnae, Bottiaea, Greece",4,286
"semele","Semele, mother of Dionysus",7,286
"friable","friable; powdery; crumbling; crumbly",11,286
"tumour","tumour",28,286
"epaphus","Epaphus",19,286
"inedible","uneatable, inedible, not good for food",29,286
"tuple","A tuple containing the specified number of terms.",63,286
"barrow","barrow, castrated pig",16,285
"hoplite","hoplite",29,285
"reproachful","reproachful",23,285
"weft","woof, weft",20,285
"flautist","a flute-player, flautist.",13,285
"balsam","balsam (substance or tree); balm",30,285
"esther","Esther",21,285
"you run","contracted second-person singular present active indicative of θέω (théō)",16,284
"gem-bearing","gem-bearing (bearing gems; containing gems; producing gems)",12,284
"bavarian","Bavarian (of or pertaining to Bavaria)",22,284
"unrolled","unrolled, unfolded",19,284
"rosemary","rosemary",3,283
"stilts","stilts",18,283
"isis","Isis.",55,283
"weft","thread which is passed between the threads of the warp, woof",68,283
"lateral expansion","lateral expansion",53,283
"cepheus","Cepheus",34,283
"jasper","jasper, a precious stone",42,283
"atlantean","of or pertaining to Mount Atlas",64,283
"astyanax","a male given name, equivalent to English Astyanax",3,282
"axle","an axle",27,282
"hecate","Hecate",34,282
"marine","in, on or of the sea, marine",4,281
"bas relief","bas relief",6,281
"suffix","suffixed to the roots of adjectives and verbs, chiefly forms abstract nouns",32,281
"lycidas","Lycidas",38,281
"teate","the chief city of the Marrucini situated near the course of the Aternus river, now the town of Chieti",46,281
"trough","trough, tank or pit in which dirty clothes were washed by treading",20,281
"divine law","dictates of religion, divine law (opp. iūs, human law), or an obligation thereunder",111,281
"pertaining","Added to nouns and verbs (often Latinate) to form adjectives meaning ""of"", ""pertaining to"", or ""serving for"".",64,281
"nominalizer","Attached to a verb to form a noun meaning the action denoted by the verb or its result.",74,281
"everything","all things, everything",64,281
"apollonia","a city and harbour of Illyricum situated at the mouth of the river Aous",86,281
"bede","Bede (English monk and scholar)",104,281
"tongue-tie","ankyloglossia, tongue-tie",1,280
"bird-footed","bird-footed",9,280
"adverbializes","Changes a component into an adverb meaning ""by that component.""",22,280
"excelling","excelling, surpassing",7,279
"agis","A Greek male name, held by a king of Sparta",9,279
"double","twofold, double, duplex",18,279
"bramble","bramble, thornbush",21,279
"pistachio tree","a pistachio tree",27,279
"gens","The name of a Roman gēns.",35,279
"able to","able to",43,279
"pleasant","pleasant; delightful",39,279
"rhypes","Rhypes, a city of Achaia",49,279
"hawk","hawk, merlin",12,278
"euterpe","Euterpe, muse of music",15,278
"laurel","of or relating to laurel",18,278
"cymbal","cymbal",26,278
"strolling about","strolling about",7,278
"mugwort","mugwort",76,278
"roger","a male given name, equivalent to English Roger",59,278
"hawk","A species of hawk",21,278
"sar","A river of Gallaecia, Hispania Tarraconensis, now the Sar",44,278
"dung","dung, manure, excrement",87,278
"roof-tile","roof-tile",59,278
"foliate","like leaves, leaflike, foliate",14,277
"damasked","woven with many threads; damasked",6,277
"underworld","the Underworld",17,277
"lydia","Lydia (a historical region and ancient kingdom in western Asia Minor, in modern-day Turkey)",34,277
"snailery","snailery, snail-pen, enclosure for edible snails",29,277
"jacob","Jacob",68,277
"done","done, made, having been done or made",131,277
"juno","Juno, queen of the gods, patron of rulers and childbirth, equivalent to the Greek Hera.",33,276
"nuthatch","nuthatch (Sitta europaea)",34,276
"steely","having the colour of (tempered) steel",7,276
"drainage ditch","drainage ditch",34,276
"squill","The squill or sea onion.",85,276
"interstitial","interstitial",2,275
"torch","torch, wax-light",24,275
"titan","a Titan",38,275
"controlling","controlling, checking",27,275
"featherlet","a small feather",26,275
"leatherwork","anything stitched of leather",23,275
"gambia","Gambia (a country in West Africa)",19,275
"piglet","piglet",22,275
"rasp","a rasp",43,275
"manger","crib, manger",106,275
"aryenis","Aryenis, the wife of Astyages",14,274
"short-tailed","Having a short tail.",15,274
"amber","amber",19,274
"phidippus","Phidippus, one of the suitors of Helen",6,274
"vesiculose","vesiculose",11,274
"lectress","A female reader",16,274
"syrian","from Syria, Syrian",25,274
"louis","a male given name, equivalent to English Louis",14,274
"anymore","anymore",68,274
"aea","A town of Colchis and birthplace of Medea",31,274
"acheron","Acheron, a river in Epirus",28,273
"strait","a strait between Corsica and Sardinia",37,273
"omicron","omicron, the name for the fifteenth letter Ο (O), ο (o) of the Ancient Greek alphabet",46,273
"tanzania","Tanzania (a country in East Africa)",28,273
"oxymel","oxymel",57,273
"evasion","evasion, avoidance",65,273
"you may","second-person plural present active optative of -ω (-ō)",76,273
"elecampane","elecampane (Inula helenium)",12,272
"peep","to pip, peep",12,272
"resinous","resinous",17,272
"skiff","a kind of light boat",41,272
"elysian","of or pertaining to Elysium",15,271
"moon trefoil","moon trefoil (Medicago arborea)",51,271
"vigorous","vigorous (physically strong and active)",15,270
"girdled","girded, belted, girdled (having one's clothes gathered up by a belt or sim.)",6,270
"ethiopian","Combining form of Ethiopia and Ethiopian.",32,270
"lance","to wield or handle a lance",54,270
"goat-hair cloak","cloak made of goat's hair",52,270
"millstone","millstone",75,270
"triad","the number three, a triad",68,270
"immortelle","immortelle (Helichrysum orientale)",10,269
"deadly carrot","deadly carrot (Thapsia garganica)",23,269
"very high","very high",7,269
"sea squirt","sea squirt (tunicate of the class Ascidiacea)",47,269
"foundation","crepidoma, foundation",32,269
"veii","ancient city near Rome",3,268
"viper","adder, snake, serpent, viper",9,268
"anchovy","European anchovy (Engraulis encrasicolus)",32,268
"julia","Julia, a Latin feminine name",28,268
"medea","Medea",56,268
"pickaxe","a pickaxe or other sharp iron digging tool",10,268
"bessus","Bessus, satrap of Bactria",35,268
"franco","Alternative letter-case form of Franco-.",64,268
"indium","indium",51,268
"marettimo","One of the Aegates islands, now Marettimo",69,268
"common ash","common ash (Fraxinus excelsior)",12,267
"hygieia","the goddess Hygieia, corresponding to Roman Salūs",28,267
"whitened","whitened, having been whitened",15,267
"oriole","a yellow bird, otherwise unknown, the sight of which was said to cure jaundice; perhaps loriot, golden oriole",27,267
"lentisk","lentisk (Pistacia lentiscus)",54,267
"brisk","brisk, nimble, quick, prompt, active",6,267
"ribbon","little band; thin ribbon",22,267
"inclined","turned forward, inclined, leaning, hanging",28,267
"dogbane","dogbane (Cionura erecta)",2,266
"tetanus","A stiffness or spasm of the neck; tetanus",21,266
"leaning back","leaning back",10,266
"geneva","Lake Geneva.",18,266
"sonorous","sounding, resounding",9,266
"clove tree","clove tree (Syzygium aromaticum)",23,266
"oblique","slanting, crosswise",45,266
"gyrton","Gyrton (a town in Thessaly, Greece)",34,266
"baba","The sound made by infants when asking for their drink; baba.",77,266
"bacchanal","a nocturnal festival in honor of Bacchus, accompanied by wild bacchanalian cries; the feast or orgies of Bacchus",61,266
"imitator","imitator (female)",5,265
"blue pimpernel","blue pimpernel (Lysimachia monelli)",12,265
"lark","A lark; the crested lark, the skylark.",20,265
"tripoli","a maritime town in Africa, now Tripoli",42,265
"glutton","glutton; gourmand",33,265
"agrimony","A plant also called agrimonia",29,265
"thomas","Thomas the Apostle.",50,265
"clew","A rope fastened to one of the lower corners of a sail",75,265
"viscera","guts, viscera, intestine, gut, belly, bowel, womb",69,265
"whither?","whither?",50,264
"everything","everything",51,264
"denude","to denude of hair or bristles",69,264
"pliant","soft, supple, pliant",31,264
"belly","belly, paunch, guts",77,264
"imitator","copier, imitator",4,263
"tankard","a large drinking vessel with handles hanging down, tankard",6,263
"pyrenees","the Pyrenees mountain",19,263
"immortal","everliving, everlasting, immortal",58,263
"campaign","campaign, expedition",69,263
"secondary","Second or secondary.",48,263
"shears","pair of shears or scissors",37,263
"dung","dung, excrement, ordure",56,263
"quadrangular","quadrangular (four-sided)",6,263
"menderes","a river in Turkey, now the Menderes",24,263
"gangway","A gangway in a ship",62,263
"white-bellied","having a white belly",3,262
"bugloss","a kind of bugloss",11,262
"anafi","Anafi, a small island of the Cyclades",22,262
"male cicada","male cicada",31,262
"ungulate","having hooves or claws, ungulate",25,262
