term,occurrences,missing
"bilingual",84,"bilingual"
"manganese",83,"manganese"
"gendarmerie",83,"gendarmerie"
"tournament",83,"tournament"
"valence",83,"valence"
"aroma",83,"aroma"
"lightening",83,"lightening"
"rotunda",83,"rotunda"
"gangrene",82,"gangrene"
"-ade",82,"ade"
"sleeve",82,"sleeve"
"ark",82,"ark"
"hermaphrodite",81,"hermaphrodite"
"suspended",81,"suspended"
"huntress",81,"huntress"
"slug",81,"slug"
"transom",81,"transom"
"milli-",81,"milli"
"cuttlebone",81,"cuttlebone"
"to electrify",81,"electrify"
"romanticism",81,"romanticism"
"valuable",81,"valuable"
"maraca",81,"maraca"
"toucan",80,"toucan"
"open-air museum",80,"museum"
"foul",80,"foul"
"burbot",80,"burbot"
"twill",80,"twill"
"greyhound",79,"greyhound"
"towel",79,"towel"
"anointing",79,"anointing"
"ace",79,"ace"
"wilderness",79,"wilderness"
"b-sharp",79,"b"
"wedding anniversary",79,"anniversary"
"galilee",79,"galilee"
"vase",79,"vase"
"bistro",79,"bistro"
"rhea",79,"rhea"
"calamity",79,"calamity"
"refill",79,"refill"
"stew",79,"stew"
"northwestern wind",78,"northwestern"
"trypanosome",78,"trypanosome"
"beryl",78,"beryl"
"arsonist",78,"arsonist"
"llama",78,"llama"
"teak",78,"teak"
"stage-coach",78,"coach"
"kelp",78,"kelp"
"diocesan",78,"diocesan"
"syphilis",78,"syphilis"
"lyrics",78,"lyrics"
"mangabeira",78,"mangabeira"
"swede",78,"swede"
"amusement",78,"amusement"
"supper",78,"supper"
"desirable",77,"desirable"
"algonquin language",77,"algonquin"
"fontanelle",77,"fontanelle"
"hornito",77,"hornito"
"unthreshed grain",77,"unthreshed"
"arabian jasmine",77,"arabian"
"jaguar",77,"jaguar"
"tow truck",77,"tow"
"anointed",76,"anointed"
"bronze",76,"bronze"
"heiress",76,"heiress"
"coachman",76,"coachman"
"nocturnal emission",76,"emission"
"quadricycle",76,"quadricycle"
"separable",75,"separable"
"bugle",75,"bugle"
"artificial",75,"artificial"
"iq",75,"iq"
"shampoo",75,"shampoo"
"abscess",75,"abscess"
"attar",75,"attar"
"sulfate",75,"sulfate"
"film editor",75,"editor"
"japanware",75,"japanware"
"pinole",75,"pinole"
"totem",75,"totem"
"antenna",75,"antenna"
"faun",74,"faun"
"nautical",74,"nautical"
"salute",74,"salute"
"clinch",74,"clinch"
"corrupt",74,"corrupt"
"wallaby",74,"wallaby"
"banjo",74,"banjo"
"iceberg",74,"iceberg"
"agora",73,"agora"
"divisible",73,"divisible"
"scrofula",73,"scrofula"
"scream",73,"scream"
"trousers",73,"trousers"
"borane",73,"borane"
"corncob",73,"corncob"
"trio",73,"trio"
"tsarina",73,"tsarina"
"bypass",73,"bypass"
"lab",73,"lab"
"sap",73,"sap"
"fiddler",73,"fiddler"
"translucent",72,"translucent"
"chough",72,"chough"
"fart",72,"fart"
"motto",72,"motto"
"grebe",72,"grebe"
"to excavate",72,"excavate"
"liberating",72,"liberating"
"wok",72,"wok"
"suicide",72,"suicide"
"stumbling",72,"stumbling"
"sago",72,"sago"
"pascal",72,"pascal"
"taco",71,"taco"
"impure",71,"impure"
"ell",71,"ell"
"shura",71,"shura"
"meteor",71,"meteor"
"smock",71,"smock"
"coniferous swamp",71,"coniferous"
"sundanese language",71,"sundanese"
"best friend",71,"best"
"half-boot",70,"half"
"persuasive",70,"persuasive"
"azure",70,"azure"
"monitor lizard",70,"monitor"
"jigsaw puzzle",70,"jigsaw"
"to fulfill",70,"fulfill"
"sapphire",69,"sapphire"
"cheque",69,"cheque"
"jacal",69,"jacal"
"indigence",69,"indigence"
"multi-",69,"multi"
"palimpsest",69,"palimpsest"
"brass knuckles",69,"brass"
"drowned man",69,"drowned"
"amphipod",69,"amphipod"
"emblic",68,"emblic"
"crisis",68,"crisis"
"duet",68,"duet"
"intercity train",68,"intercity"
"bowsprit",68,"bowsprit"
"hoop earring",68,"hoop"
"ozone",68,"ozone"
"canary-colored",67,"canary"
"withe",67,"withe"
"jamb",67,"jamb"
"paratha",67,"paratha"
"placenta",67,"placenta"
"tuxedo",67,"tuxedo"
"panting",67,"panting"
"whelp",66,"whelp"
"intercalary",66,"intercalary"
"cobbler",66,"cobbler"
"impossible",66,"impossible"
"pelvis",66,"pelvis"
"boast",66,"boast"
"yeast",66,"yeast"
"klipspringer",66,"klipspringer"
"reveille",66,"reveille"
"guaco",66,"guaco"
"stamp",66,"stamp"
"indefinite",65,"indefinite"
"styloglossal",65,"styloglossal"
