word,occurrences,meanings_it_unlocks
"undone",23,1
"datura",23,1
"frigate",23,1
"guaracha",23,1
"macula",23,1
"papakha",23,1
"journalist",23,1
"prairie",23,1
"confinement",23,1
"substantiate",23,1
"parliament",23,1
"yoni",23,1
"cameo",23,1
"accord",23,1
"c",23,2
"avenged",22,1
"bugler",22,1
"worse",22,1
"reunite",22,1
"astonished",22,1
"invoked",22,1
"syllogism",22,1
"sadomasochism",22,1
"hurricane",22,1
"écu",22,1
"uria",22,1
"gallop",22,1
"stunted",22,1
"hadith",22,1
"greetings",22,1
"convoy",22,1
"fermi",22,1
"fiacre",22,1
"demonym",22,1
"gird",22,1
"ikea",22,1
"investment",22,1
"crambe",22,1
"flail",22,1
"queer",22,1
"cavalryman",22,1
"rhyolite",22,1
"seiche",22,1
"guildhall",22,1
"stoa",22,1
"yeoman",22,1
"catacomb",22,1
"ticket",22,1
"baroque",22,1
"masturbate",22,1
"baccarat",22,1
"sheatfish",21,1
"crook",21,1
"luminescent",21,1
"maniple",21,1
"integral",21,1
"demolish",21,1
"biblical",21,1
"propelled",21,1
