term,occurrences,forms
xanthippe,3,1
anactorian,3,2
bardylis,3,2
arsites,3,2
carcassonne,3,2
chephren,3,2
cleophon,3,2
surnamed,3,2
habsburg,3,2
hieronymus,3,2
given name,3,2
socrates,3,2
paxos,3,2
pharnaces,3,2
antinous,3,2
pleistoanax,3,2
formia,3,2
monastir,3,2
stratonice,3,2
tauromenite,3,2
timothy,3,2
trani,3,2
santerno,3,2
vosges,3,2
tegeate,3,3
madagascar,3,3
bigerra,3,3
thessaloniki,3,3
giles,2,1
agatharchus,2,1
agathocles,2,1
agesilaus,2,1
acesines,2,1
germany,2,1
amorges,2,1
androsthenes,2,1
anemoria,2,1
archelaus,2,1
argentina,2,1
aristobulus,2,1
aristodemus,2,1
aristomachus,2,1
artachaees,2,1
given name,2,1
given name,2,1
asturias,2,1
helorus,2,1
bactrian,2,1
bosut,2,1
buna,2,1
azilises,2,1
binche,2,1
caledonian,2,1
cassandane,2,1
cleombrotus,2,1
cleomedes,2,1
decelea,2,1
dinostratus,2,1
foligno,2,1
genseric,2,1
theodosia,2,1
heraea,2,1
siret,2,1
yarmouk,2,1
hippodamia,2,1
carini,2,1
ebro,2,1
gubbio,2,1
archimedes,2,1
jesus,2,1
abilene,2,1
lacedaemonian,2,1
laodicea,2,1
lebanon,2,1
lycaonian,2,1
seuthes,2,1
mascames,2,1
calchas,2,1
nicander,2,1
octogesa,2,1
orontobates,2,1
peisistratus,2,1
female name,2,1
pharnabazus,2,1
phaselite,2,1
philebus,2,1
philocrates,2,1
phrataphernes,2,1
pleistarchus,2,1
poseidonia,2,1
ananias,2,1
pupienus,2,1
sosthenes,2,1
sostratus,2,1
spitamenes,2,1
teggiano,2,1
theocritus,2,1
theophrastus,2,1
thrasymachus,2,1
thronium,2,1
aydin,2,1
weimar,2,1
xenias,2,1
zeuxippus,2,1
zimbabwe,2,1
catherine,2,2
aegeus,2,2
artasyras,2,2
axiochus,2,2
ctesibius,2,2
ereğli,2,2
cynthus,2,2
datis,2,2
deiphobus,2,2
diodorus,2,2
empedocles,2,2
eusebius,2,2
faenza,2,2
ostiglia,2,2
hypsicles,2,2
mallorca,2,2
melitene,2,2
metrodorus,2,2
polycarp,2,2
nicodemus,2,2
cetius,2,2
polyxena,2,2
ptolemy,2,2
syloson,2,2
sthenelus,2,2
venezuela,2,2
ingvar,1,1
aegialeus,1,1
alcibiades,1,1
amadocus,1,1
ameinocles,1,1
anactoria,1,1
anaxarchus,1,1
andocides,1,1
andromachus,1,1
antenor,1,1
antiphilus,1,1
antisthenes,1,1
apollodorus,1,1
aquileia,1,1
ariaramnes,1,1
aristocles,1,1
arpoxais,1,1
artabazus,1,1
artacamas,1,1
artembares,1,1
aurelian,1,1
aisne,1,1
balthazar,1,1
palau,1,1
adusius,1,1
boeotian,1,1
surname,1,1
calliarus,1,1
cestria,1,1
christopher,1,1
bitterne manor,1,1
given name,1,1
daurises,1,1
deidamia,1,1
dinolochus,1,1
vrbas,1,1
trump,1,1
dorchester,1,1
reims,1,1
hippocrates,1,1
erechtheus,1,1
flanona,1,1
jordan,1,1
gobryes,1,1
atizyes,1,1
helorus,1,1
heraclitus,1,1
hierapolitan,1,1
hierocles,1,1
hippolochus,1,1
houston,1,1
angoulême,1,1
numantine,1,1
alcman,1,1
clytemnestra,1,1
colossae,1,1
fifty-four,1,1
lycaonian,1,1
mantinean,1,1
given name,1,1
matilica,1,1
mithradates,1,1
mithridates,1,1
mohorovicic,1,1
nebuchadnezzar,1,1
nazareth,1,1
destructive,1,1
niceratus,1,1
nicopolis,1,1
tielt,1,1
olympiodorus,1,1
onuphrius,1,1
paltus,1,1
parmises,1,1
pisan,1,1
xerxes,1,1
potiphar,1,1
pupput,1,1
